time_s,phase,pressure_kpa,temperature_k,vibration_g,thrust_n,anomaly,scenario,pressure_kpa_z,pressure_kpa_alert,temperature_k_z,temperature_k_alert,vibration_g_z,vibration_g_alert,thrust_n_z,thrust_n_alert,active_sensors,status,ai_anomaly
0.0,startup,38.951593615508166,298.21846176586973,0.1507755247480097,113.24172725469523,0,normal,1.881889099126137,False,1.7226393053201832,False,0.7344982084295915,False,1.4635783447294377,False,0,NORMAL,0
0.1,startup,40.94775543139647,302.6457327061401,0.1513204765359054,94.55462451916554,0,normal,1.5453945648119034,False,1.5696391035877626,False,0.6918495948022739,False,1.7856623475398299,False,0,NORMAL,0
0.2,startup,39.43132736490758,301.1842301092975,0.1502837366416976,101.97998719735853,0,normal,1.8010200116032196,False,1.620146559572762,False,0.7729861653433662,False,1.6576815381249936,False,0,NORMAL,0
0.3,startup,40.26552651335648,304.683613657384,0.1496149118098404,105.76589112655977,0,normal,1.660398418830328,False,1.499212829512038,False,0.8253292394864544,False,1.5924290958908998,False,0,NORMAL,0
0.4,startup,39.22434771495647,297.87427277611727,0.1471756714549443,112.36775113003118,0,normal,1.835910730566215,False,1.734533988427829,False,1.0162272634049179,False,1.478641874511254,False,0,NORMAL,0
0.5,startup,40.59014193083082,304.4144682820081,0.161278254710366,111.38363755446208,0,normal,1.6056777479584425,False,1.5085141117880547,False,0.08745867316212041,False,1.4956036927302276,False,0,NORMAL,0
0.6,startup,41.49401634860919,306.8108031676535,0.139740518883481,101.0045981108106,0,normal,1.4533109413859329,False,1.4257001783584935,False,1.5981116728587337,False,1.6744929842725884,False,0,NORMAL,0
0.7,startup,41.64351144054274,306.6096017776801,0.1513351135568491,118.12986403265106,0,normal,1.4281104386300698,False,1.432653412906387,False,0.6907040830987666,False,1.379328224097558,False,0,NORMAL,0
0.8,startup,41.82480077447628,301.1682825570869,0.1529876271001984,117.3007314755427,0,normal,1.397550356019253,False,1.6206976843487877,False,0.5613762908249633,False,1.3936188467068154,False,0,NORMAL,0
0.9,startup,41.07020420304613,310.115436870934,0.1437161181644263,119.11395528727856,0,normal,1.5247532810914923,False,1.3114967265989328,False,1.2869762633855437,False,1.362366790594092,False,0,NORMAL,0
1.0,startup,41.72673748680874,309.5122711249518,0.1586306740891883,116.8731069301129,0,normal,1.4140809599283997,False,1.3323412789334075,False,0.11974432253002447,False,1.4009892254777383,False,0,NORMAL,0
